epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6386584639549255,0.9087191224098206,0.0005,0.6649384498596191,0.7592214345932007
1,0.6627349257469177,0.7609201669692993,0.0005,0.6636422276496887,0.7515268325805664
2,0.6634478569030762,0.7567073702812195,0.0005,0.6640310883522034,0.7501001358032227
3,0.6631237864494324,0.7553293108940125,0.0005,0.6671419143676758,0.7498340010643005
4,0.6642255187034607,0.7548388838768005,0.0005,0.6661049723625183,0.7480151057243347
5,0.7411535978317261,0.6358934640884399,0.0005,0.7778353691101074,0.5196331143379211
6,0.7872326374053955,0.47570306062698364,0.0005,0.7904083132743835,0.4445677101612091
7,0.8038884997367859,0.4009726047515869,0.0005,0.8163318037986755,0.36918821930885315
8,0.8500972390174866,0.3289721608161926,0.0005,0.8557355999946594,0.3172016739845276
9,0.8773168921470642,0.27459579706192017,0.0005,0.8728451132774353,0.27663466334342957
10,0.901782214641571,0.22489944100379944,0.0005,0.8950096964836121,0.23531672358512878
11,0.9306869506835938,0.17098642885684967,0.0005,0.9320803880691528,0.17528896033763885
12,0.9633182287216187,0.11384882777929306,0.0005,0.9558004140853882,0.12375973165035248
13,0.9836357831954956,0.06878074258565903,0.0005,0.9769280552864075,0.0785057470202446
14,0.994102418422699,0.0368463508784771,0.0005,0.9847050905227661,0.05621561035513878
15,0.9979261159896851,0.019853021949529648,0.0005,0.987945556640625,0.04320092499256134
16,0.999384343624115,0.011176751926541328,0.0005,0.9900194406509399,0.035840194672346115
17,0.9996435642242432,0.006313182879239321,0.0005,0.9920933246612549,0.028177982196211815
18,0.9999675750732422,0.003027195343747735,0.0005,0.9927414059638977,0.02424287050962448
19,1.0,0.0017653953982517123,0.0005,0.9928710460662842,0.02250676415860653
20,1.0,0.0010583139955997467,0.0005,0.9930006265640259,0.0214413832873106
21,1.0,0.0006253361352719367,0.0005,0.9939079880714417,0.019893556833267212
22,1.0,0.00037343287840485573,0.0005,0.9941672086715698,0.01866036467254162
23,1.0,0.00022792411618866026,0.0005,0.9946856498718262,0.017795313149690628
24,1.0,0.00013817759463563561,0.0005,0.9950745105743408,0.01790572516620159
25,0.9975696802139282,0.009396704845130444,0.0005,0.9930006265640259,0.027659276500344276
26,0.999708354473114,0.0015739728696644306,0.0005,0.9954633712768555,0.01568981446325779
27,1.0,0.0002066048327833414,0.0005,0.9955930113792419,0.01571609638631344
28,1.0,0.00013480635243467987,0.0005,0.9955930113792419,0.015591495670378208
29,1.0,0.00010996960918419063,0.0005,0.9959818720817566,0.015416703186929226
30,1.0,9.006740583572537e-05,0.0005,0.9959818720817566,0.015184548683464527
31,1.0,7.290720532182604e-05,0.0005,0.9958522319793701,0.015078511089086533
32,1.0,5.752827200922184e-05,0.0005,0.9961114525794983,0.015102344565093517
33,1.0,4.368482404970564e-05,0.0005,0.9963707327842712,0.015127992257475853
34,1.0,3.2116309739649296e-05,0.0005,0.9962410926818848,0.01518566720187664
35,1.0,2.2824155166745186e-05,0.0005,0.9966299533843994,0.015191913582384586
36,1.0,1.5659723430871964e-05,0.0005,0.9966299533843994,0.015152846463024616
37,1.0,1.1916764378838707e-05,5.0000002e-05,0.9966299533843994,0.01489059068262577
38,1.0,1.1142235052830074e-05,5.0000002e-05,0.9966299533843994,0.014842638745903969
39,1.0,1.023275308398297e-05,5.0000002e-05,0.9966299533843994,0.014854802750051022
40,1.0,9.137982488027774e-06,5.0000002e-05,0.9966299533843994,0.014894469641149044
41,1.0,7.928001650725491e-06,5.0000002e-05,0.9966299533843994,0.014905862510204315
42,1.0,6.716868028888712e-06,5.0000002e-05,0.9967595338821411,0.014881795272231102
43,1.0,5.994198090775171e-06,5.0000003e-06,0.9966299533843994,0.014779018238186836
44,1.0,5.843753115186701e-06,5.0000003e-06,0.9966299533843994,0.014723856002092361
45,1.0,5.6994940678123385e-06,5.0000003e-06,0.9966299533843994,0.014680491760373116
46,1.0,5.552285983867478e-06,5.0000003e-06,0.9966299533843994,0.014653587713837624
47,1.0,5.406257969298167e-06,5.0000003e-06,0.9966299533843994,0.014635127037763596
48,1.0,5.262267222860828e-06,5.0000003e-06,0.9966299533843994,0.01460237242281437
49,1.0,5.1218989938206505e-06,5.0000003e-06,0.9966299533843994,0.01459175068885088
50,1.0,4.986574822396506e-06,5.0000003e-06,0.9966299533843994,0.014571170322597027
51,1.0,4.854048711422365e-06,5.0000003e-06,0.9966299533843994,0.014557710848748684
52,1.0,4.770854957314441e-06,5.0000006e-07,0.9966299533843994,0.014561737887561321
